Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1671.035: [GC (Allocation Failure) [PSYoungGen: 1565103K->4736K(1566208K)] 1666649K->106977K(2090496K), 0.0078738 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1683.190: [GC (Allocation Failure) [PSYoungGen: 1564288K->5216K(1566720K)] 1666529K->107569K(2091008K), 0.0072997 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1695.295: [GC (Allocation Failure) [PSYoungGen: 1565280K->5248K(1566208K)] 1667633K->107697K(2090496K), 0.0051975 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1707.434: [GC (Allocation Failure) [PSYoungGen: 1565312K->5120K(1566720K)] 1667761K->107713K(2091008K), 0.0051106 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1719.536: [GC (Allocation Failure) [PSYoungGen: 1565696K->5120K(1566720K)] 1668289K->107849K(2091008K), 0.0052145 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
1730.775: [GC (Allocation Failure) [PSYoungGen: 1565696K->5775K(1566720K)] 1668425K->108615K(2091008K), 0.0073106 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1741.903: [GC (Allocation Failure) [PSYoungGen: 1566351K->5088K(1566720K)] 1669191K->108823K(2091008K), 0.0056181 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1753.052: [GC (Allocation Failure) [PSYoungGen: 1565664K->5088K(1566720K)] 1669399K->108984K(2091008K), 0.0060363 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
1764.246: [GC (Allocation Failure) [PSYoungGen: 1565664K->5344K(1566720K)] 1669560K->109392K(2091008K), 0.0056177 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1775.377: [GC (Allocation Failure) [PSYoungGen: 1565920K->5248K(1566720K)] 1669968K->109392K(2091008K), 0.0045933 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1786.430: [GC (Allocation Failure) [PSYoungGen: 1565824K->5935K(1566720K)] 1669968K->110150K(2091008K), 0.0081583 secs] [Times: user=0.19 sys=0.00, real=0.00 secs] 
1796.712: [GC (Allocation Failure) [PSYoungGen: 1566511K->5216K(1566720K)] 1670726K->110286K(2091008K), 0.0067946 secs] [Times: user=0.12 sys=0.01, real=0.00 secs] 
1807.033: [GC (Allocation Failure) [PSYoungGen: 1565792K->5280K(1566720K)] 1670862K->110446K(2091008K), 0.0059039 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1817.282: [GC (Allocation Failure) [PSYoungGen: 1565856K->5280K(1566720K)] 1671022K->110510K(2091008K), 0.0073354 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
1827.552: [GC (Allocation Failure) [PSYoungGen: 1565821K->5056K(1566720K)] 1671051K->110374K(2091008K), 0.0063317 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1837.925: [GC (Allocation Failure) [PSYoungGen: 1565632K->5312K(1566720K)] 1670950K->110838K(2091008K), 0.0054615 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1848.205: [GC (Allocation Failure) [PSYoungGen: 1565888K->5280K(1566720K)] 1671414K->110958K(2091008K), 0.0046346 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1858.317: [GC (Allocation Failure) [PSYoungGen: 1565856K->5743K(1566720K)] 1671534K->111525K(2091008K), 0.0083914 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1868.405: [GC (Allocation Failure) [PSYoungGen: 1566319K->5248K(1566720K)] 1672101K->112125K(2091008K), 0.0060229 secs] [Times: user=0.12 sys=0.01, real=0.00 secs] 
1878.513: [GC (Allocation Failure) [PSYoungGen: 1565824K->5280K(1566720K)] 1672701K->112285K(2091008K), 0.0051269 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1888.621: [GC (Allocation Failure) [PSYoungGen: 1565856K->5344K(1566720K)] 1672861K->112501K(2091008K), 0.0067887 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
1898.711: [GC (Allocation Failure) [PSYoungGen: 1565920K->5248K(1566720K)] 1673077K->112573K(2091008K), 0.0071610 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
1908.814: [GC (Allocation Failure) [PSYoungGen: 1565824K->5216K(1566720K)] 1673149K->112637K(2091008K), 0.0068853 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1918.865: [GC (Allocation Failure) [PSYoungGen: 1565792K->5935K(1566720K)] 1673213K->113451K(2091008K), 0.0066342 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
