Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
558.519: [GC (Allocation Failure) [PSYoungGen: 21823407K->730804K(22609920K)] 22432182K->1340355K(25755648K), 0.1305367 secs] [Times: user=4.61 sys=0.00, real=0.13 secs] 
561.625: [GC (Allocation Failure) [PSYoungGen: 21833396K->746982K(22609920K)] 22442947K->1357701K(25755648K), 0.1331410 secs] [Times: user=4.68 sys=0.00, real=0.14 secs] 
564.663: [GC (Allocation Failure) [PSYoungGen: 21849574K->743262K(22609920K)] 22460293K->1355126K(25755648K), 0.1332339 secs] [Times: user=4.66 sys=0.00, real=0.13 secs] 
567.749: [GC (Allocation Failure) [PSYoungGen: 21845854K->701394K(22609920K)] 22457718K->1314281K(25755648K), 0.1263893 secs] [Times: user=4.43 sys=0.00, real=0.12 secs] 
570.809: [GC (Allocation Failure) [PSYoungGen: 21803986K->674700K(22609920K)] 22416873K->1288556K(25755648K), 0.1224955 secs] [Times: user=4.31 sys=0.00, real=0.12 secs] 
573.924: [GC (Allocation Failure) [PSYoungGen: 21777292K->731801K(22609920K)] 22391148K->1346777K(25755648K), 0.1305471 secs] [Times: user=4.61 sys=0.00, real=0.13 secs] 
577.029: [GC (Allocation Failure) [PSYoungGen: 21834393K->709992K(22609920K)] 22449369K->1326095K(25755648K), 0.1278518 secs] [Times: user=4.49 sys=0.00, real=0.12 secs] 
580.064: [GC (Allocation Failure) [PSYoungGen: 21812584K->643541K(22609920K)] 22428687K->1260620K(25755648K), 0.1164296 secs] [Times: user=4.10 sys=0.01, real=0.12 secs] 
583.117: [GC (Allocation Failure) [PSYoungGen: 21746133K->631285K(22609920K)] 22363212K->1249468K(25755648K), 0.1149001 secs] [Times: user=4.04 sys=0.00, real=0.12 secs] 
586.034: [GC (Allocation Failure) [PSYoungGen: 21733877K->700311K(22609920K)] 22352060K->1319486K(25755648K), 0.1283119 secs] [Times: user=4.44 sys=0.00, real=0.13 secs] 
589.241: [GC (Allocation Failure) [PSYoungGen: 21802903K->649909K(22609920K)] 22422078K->1270020K(25755648K), 0.1185926 secs] [Times: user=4.18 sys=0.01, real=0.11 secs] 
