Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2083.165: [GC (Allocation Failure) [PSYoungGen: 1564193K->6817K(1564672K)] 1677015K->119791K(2088960K), 0.0056431 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2093.122: [GC (Allocation Failure) [PSYoungGen: 1564321K->7279K(1564672K)] 1677295K->120390K(2088960K), 0.0089911 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2103.159: [GC (Allocation Failure) [PSYoungGen: 1563759K->6497K(1564672K)] 1676870K->120510K(2088960K), 0.0054257 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2113.142: [GC (Allocation Failure) [PSYoungGen: 1562977K->6753K(1564672K)] 1676990K->120846K(2088960K), 0.0068058 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
2123.147: [GC (Allocation Failure) [PSYoungGen: 1563233K->6561K(1564672K)] 1677326K->120790K(2088960K), 0.0052033 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
2133.120: [GC (Allocation Failure) [PSYoungGen: 1563041K->6785K(1564672K)] 1677270K->121126K(2088960K), 0.0063106 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
2143.133: [GC (Allocation Failure) [PSYoungGen: 1563265K->6721K(1564672K)] 1677606K->121150K(2088960K), 0.0070407 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2153.129: [GC (Allocation Failure) [PSYoungGen: 1563201K->6817K(1564672K)] 1677630K->121382K(2088960K), 0.0062175 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2163.055: [GC (Allocation Failure) [PSYoungGen: 1563297K->7407K(1564672K)] 1677862K->122060K(2088960K), 0.0082333 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
2173.032: [GC (Allocation Failure) [PSYoungGen: 1563887K->6657K(1564672K)] 1678540K->122332K(2088960K), 0.0074354 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
2183.035: [GC (Allocation Failure) [PSYoungGen: 1563137K->6849K(1564672K)] 1678812K->122644K(2088960K), 0.0065964 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2193.037: [GC (Allocation Failure) [PSYoungGen: 1563329K->6753K(1564672K)] 1679124K->122596K(2088960K), 0.0069346 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
