Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
544.637: [GC (Allocation Failure) [PSYoungGen: 26322325K->827805K(26355712K)] 28854232K->3362097K(29501440K), 0.1093952 secs] [Times: user=5.47 sys=0.01, real=0.11 secs] 
547.736: [GC (Allocation Failure) [PSYoungGen: 26276115K->878390K(26355712K)] 28810406K->3415089K(29501440K), 0.1135836 secs] [Times: user=5.90 sys=0.00, real=0.11 secs] 
550.843: [GC (Allocation Failure) [PSYoungGen: 26326838K->869494K(26355712K)] 28863537K->3408714K(29501440K), 0.1145863 secs] [Times: user=5.76 sys=0.01, real=0.11 secs] 
553.917: [GC (Allocation Failure) [PSYoungGen: 26317942K->828708K(26355712K)] 28857162K->3369951K(29501440K), 0.1101291 secs] [Times: user=5.38 sys=0.00, real=0.11 secs] 
556.998: [GC (Allocation Failure) [PSYoungGen: 26277156K->907246K(26355712K)] 28818399K->3470746K(29501440K), 0.1339593 secs] [Times: user=6.88 sys=0.00, real=0.13 secs] 
560.080: [GC (Allocation Failure) [PSYoungGen: 26355694K->883582K(26355712K)] 28919194K->3449362K(29501440K), 0.1277323 secs] [Times: user=6.43 sys=0.01, real=0.13 secs] 
563.143: [GC (Allocation Failure) [PSYoungGen: 26332030K->907253K(26355712K)] 28897810K->3494937K(29501440K), 0.1515369 secs] [Times: user=8.06 sys=0.00, real=0.15 secs] 
566.149: [GC (Allocation Failure) [PSYoungGen: 26355701K->907239K(26355712K)] 28943385K->3519683K(29501440K), 0.1371129 secs] [Times: user=7.14 sys=0.00, real=0.14 secs] 
569.140: [GC (Allocation Failure) [PSYoungGen: 26355687K->855787K(26355712K)] 28968131K->3469967K(29501440K), 0.1104908 secs] [Times: user=5.61 sys=0.01, real=0.11 secs] 
572.212: [GC (Allocation Failure) [PSYoungGen: 26304235K->817508K(26355712K)] 28918415K->3433497K(29501440K), 0.1070836 secs] [Times: user=5.47 sys=0.00, real=0.11 secs] 
575.382: [GC (Allocation Failure) [PSYoungGen: 26265956K->769171K(26355712K)] 28881945K->3386736K(29501440K), 0.1069158 secs] [Times: user=5.40 sys=0.01, real=0.11 secs] 
578.394: [GC (Allocation Failure) [PSYoungGen: 26217619K->758492K(26355712K)] 28835184K->3377753K(29501440K), 0.1094449 secs] [Times: user=5.29 sys=0.01, real=0.11 secs] 
581.522: [GC (Allocation Failure) [PSYoungGen: 26206940K->749835K(26355712K)] 28826201K->3370559K(29501440K), 0.1044572 secs] [Times: user=5.11 sys=0.01, real=0.11 secs] 
584.548: [GC (Allocation Failure) [PSYoungGen: 26198283K->898944K(26355712K)] 28819007K->3522861K(29501440K), 0.1163678 secs] [Times: user=5.84 sys=0.00, real=0.12 secs] 
587.632: [GC (Allocation Failure) [PSYoungGen: 26347392K->879433K(26355712K)] 28971309K->3504519K(29501440K), 0.1164140 secs] [Times: user=5.95 sys=0.01, real=0.12 secs] 
590.657: [GC (Allocation Failure) [PSYoungGen: 26327881K->843469K(26355712K)] 28952967K->3469643K(29501440K), 0.1162388 secs] [Times: user=5.67 sys=0.01, real=0.12 secs] 
593.600: [GC (Allocation Failure) [PSYoungGen: 26291917K->771587K(26355712K)] 28918091K->3399041K(29501440K), 0.1044028 secs] [Times: user=5.33 sys=0.01, real=0.11 secs] 
596.672: [GC (Allocation Failure) [PSYoungGen: 26220035K->735147K(26355712K)] 28847489K->3363697K(29501440K), 0.1013319 secs] [Times: user=5.18 sys=0.01, real=0.11 secs] 
599.698: [GC (Allocation Failure) [PSYoungGen: 26183595K->784845K(26355712K)] 28812145K->3414467K(29501440K), 0.1079398 secs] [Times: user=5.23 sys=0.00, real=0.11 secs] 
602.685: [GC (Allocation Failure) [PSYoungGen: 26233293K->907260K(26355712K)] 28862915K->3568194K(29501440K), 0.1221979 secs] [Times: user=6.38 sys=0.00, real=0.12 secs] 
605.640: [GC (Allocation Failure) [PSYoungGen: 26355708K->881413K(26355712K)] 29016642K->3543532K(29501440K), 0.1266520 secs] [Times: user=5.90 sys=0.01, real=0.13 secs] 
608.931: [GC (Allocation Failure) [PSYoungGen: 26329861K->713812K(26355712K)] 28991980K->3377858K(29501440K), 0.1024345 secs] [Times: user=4.91 sys=0.00, real=0.11 secs] 
611.571: [GC (Allocation Failure) [PSYoungGen: 26162260K->870727K(26355712K)] 28826306K->3535982K(29501440K), 0.1135240 secs] [Times: user=5.79 sys=0.01, real=0.12 secs] 
614.541: [GC (Allocation Failure) [PSYoungGen: 26319175K->875743K(26355712K)] 28984430K->3541965K(29501440K), 0.1147169 secs] [Times: user=5.82 sys=0.01, real=0.12 secs] 
617.448: [GC (Allocation Failure) [PSYoungGen: 26324191K->761420K(26355712K)] 28990413K->3428715K(29501440K), 0.1074189 secs] [Times: user=5.34 sys=0.01, real=0.11 secs] 
620.421: [GC (Allocation Failure) [PSYoungGen: 26209868K->907255K(26355712K)] 28877163K->3616142K(29501440K), 0.1297227 secs] [Times: user=6.48 sys=0.00, real=0.13 secs] 
623.293: [GC (Allocation Failure) [PSYoungGen: 26355703K->907235K(26355712K)] 29064590K->3620506K(29501440K), 0.1225230 secs] [Times: user=6.28 sys=0.00, real=0.12 secs] 
626.141: [GC (Allocation Failure) [PSYoungGen: 26355683K->881588K(26355712K)] 29068954K->3595884K(29501440K), 0.1436298 secs] [Times: user=7.55 sys=0.00, real=0.15 secs] 
629.017: [GC (Allocation Failure) [PSYoungGen: 26330036K->907248K(26355712K)] 29044332K->3754519K(29501440K), 0.1729823 secs] [Times: user=8.75 sys=0.00, real=0.17 secs] 
631.793: [GC (Allocation Failure) [PSYoungGen: 26355696K->901073K(26355712K)] 29202967K->3749393K(29501440K), 0.1313385 secs] [Times: user=6.53 sys=0.00, real=0.13 secs] 
634.586: [GC (Allocation Failure) [PSYoungGen: 26349521K->802777K(26355712K)] 29197841K->3652033K(29501440K), 0.1168796 secs] [Times: user=5.52 sys=0.00, real=0.12 secs] 
637.400: [GC (Allocation Failure) [PSYoungGen: 26251225K->907235K(26355712K)] 29100481K->3856594K(29501440K), 0.1364852 secs] [Times: user=7.07 sys=0.02, real=0.14 secs] 
640.154: [GC (Allocation Failure) [PSYoungGen: 26355683K->907243K(26355712K)] 29305042K->3867299K(29501440K), 0.1209203 secs] [Times: user=6.08 sys=0.00, real=0.12 secs] 
642.927: [GC (Allocation Failure) [PSYoungGen: 26355691K->907237K(26355712K)] 29315747K->3970405K(29501440K), 0.1354686 secs] [Times: user=7.00 sys=0.00, real=0.13 secs] 
643.063: [Full GC (Ergonomics) [PSYoungGen: 907237K->0K(26355712K)] [ParOldGen: 3063167K->1670635K(3145728K)] 3970405K->1670635K(29501440K), [Metaspace: 22496K->22496K(1069056K)], 1.1364973 secs] [Times: user=30.56 sys=0.02, real=1.13 secs] 
646.552: [GC (Allocation Failure) [PSYoungGen: 25448448K->907247K(26355712K)] 27119083K->2597131K(29501440K), 0.1482084 secs] [Times: user=6.72 sys=0.01, real=0.15 secs] 
649.213: [GC (Allocation Failure) [PSYoungGen: 26355695K->907239K(26355712K)] 28045579K->2688523K(29501440K), 0.1355937 secs] [Times: user=7.21 sys=0.00, real=0.13 secs] 
651.755: [GC (Allocation Failure) [PSYoungGen: 26355687K->907241K(26355712K)] 28136971K->2835588K(29501440K), 0.1623120 secs] [Times: user=8.16 sys=0.01, real=0.16 secs] 
654.380: [GC (Allocation Failure) [PSYoungGen: 26355689K->907255K(26355712K)] 28284036K->2903171K(29501440K), 0.1430946 secs] [Times: user=7.52 sys=0.00, real=0.15 secs] 
657.986: [GC (Allocation Failure) [PSYoungGen: 26355703K->907233K(26355712K)] 28351619K->3501640K(29501440K), 0.2260804 secs] [Times: user=12.16 sys=0.00, real=0.22 secs] 
660.681: [GC (Allocation Failure) [PSYoungGen: 26355681K->907247K(26355712K)] 28950088K->4012414K(29501440K), 0.2180852 secs] [Times: user=11.36 sys=0.00, real=0.22 secs] 
660.900: [Full GC (Ergonomics) [PSYoungGen: 907247K->0K(26355712K)] [ParOldGen: 3105167K->2095280K(3145728K)] 4012414K->2095280K(29501440K), [Metaspace: 22496K->22496K(1069056K)], 1.0976326 secs] [Times: user=45.86 sys=0.03, real=1.10 secs] 
664.388: [GC (Allocation Failure) [PSYoungGen: 25448448K->872577K(26355712K)] 27543728K->2967857K(29501440K), 0.1246750 secs] [Times: user=6.36 sys=0.00, real=0.13 secs] 
666.917: [GC (Allocation Failure) [PSYoungGen: 26321025K->907247K(26355712K)] 28416305K->3152239K(29501440K), 0.1499662 secs] [Times: user=8.09 sys=0.00, real=0.15 secs] 
669.433: [GC (Allocation Failure) [PSYoungGen: 26355695K->907244K(26355712K)] 28600687K->3245900K(29501440K), 0.1368417 secs] [Times: user=6.77 sys=0.01, real=0.13 secs] 
671.970: [GC (Allocation Failure) [PSYoungGen: 26355692K->907234K(26355712K)] 28694348K->3407162K(29501440K), 0.1433836 secs] [Times: user=7.62 sys=0.00, real=0.15 secs] 
674.816: [GC (Allocation Failure) [PSYoungGen: 26355682K->907240K(26355712K)] 28855610K->3521488K(29501440K), 0.1912117 secs] [Times: user=6.59 sys=0.00, real=0.19 secs] 
675.922: [GC (System.gc()) [PSYoungGen: 6090481K->767178K(26355712K)] 8704729K->3381427K(29501440K), 0.0949660 secs] [Times: user=4.95 sys=0.01, real=0.10 secs] 
676.017: [Full GC (System.gc()) [PSYoungGen: 767178K->0K(26355712K)] [ParOldGen: 2614248K->275688K(3145728K)] 3381427K->275688K(29501440K), [Metaspace: 22520K->22520K(1069056K)], 0.1180925 secs] [Times: user=3.45 sys=0.00, real=0.12 secs] 
697.540: [GC (Allocation Failure) [PSYoungGen: 25448448K->907247K(26355712K)] 25724136K->1262183K(29501440K), 0.1038190 secs] [Times: user=5.28 sys=0.01, real=0.11 secs] 
704.168: [GC (Allocation Failure) [PSYoungGen: 26355695K->907238K(26355712K)] 26710631K->1286855K(29501440K), 0.0856296 secs] [Times: user=4.20 sys=0.01, real=0.09 secs] 
709.936: [GC (Allocation Failure) [PSYoungGen: 26355686K->907252K(26355712K)] 26735303K->1374708K(29501440K), 0.1035858 secs] [Times: user=5.00 sys=0.00, real=0.10 secs] 
