Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1860.757: [GC (Allocation Failure) [PSYoungGen: 1565153K->5665K(1566208K)] 1671057K->111697K(2090496K), 0.0070177 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1870.893: [GC (Allocation Failure) [PSYoungGen: 1565217K->5569K(1566208K)] 1671249K->111681K(2090496K), 0.0082503 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1880.964: [GC (Allocation Failure) [PSYoungGen: 1565121K->5793K(1566208K)] 1671233K->112001K(2090496K), 0.0060391 secs] [Times: user=0.07 sys=0.01, real=0.00 secs] 
1891.046: [GC (Allocation Failure) [PSYoungGen: 1565345K->5857K(1566208K)] 1671553K->112233K(2090496K), 0.0082898 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1901.141: [GC (Allocation Failure) [PSYoungGen: 1565409K->6639K(1566208K)] 1671785K->113167K(2090496K), 0.0070015 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
1911.236: [GC (Allocation Failure) [PSYoungGen: 1566191K->5889K(1566208K)] 1672719K->113495K(2090496K), 0.0084872 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1921.289: [GC (Allocation Failure) [PSYoungGen: 1565441K->5793K(1566208K)] 1673047K->113439K(2090496K), 0.0056257 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
1931.347: [GC (Allocation Failure) [PSYoungGen: 1565345K->5985K(1566208K)] 1672991K->113735K(2090496K), 0.0084873 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1941.378: [GC (Allocation Failure) [PSYoungGen: 1565537K->5889K(1566208K)] 1673287K->113719K(2090496K), 0.0071046 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1951.431: [GC (Allocation Failure) [PSYoungGen: 1565441K->5985K(1566208K)] 1673271K->113911K(2090496K), 0.0068198 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1961.442: [GC (Allocation Failure) [PSYoungGen: 1565537K->6049K(1566208K)] 1673463K->114047K(2090496K), 0.0091861 secs] [Times: user=0.19 sys=0.01, real=0.01 secs] 
1971.459: [GC (Allocation Failure) [PSYoungGen: 1565601K->6575K(1566208K)] 1673599K->114638K(2090496K), 0.0057449 secs] [Times: user=0.09 sys=0.01, real=0.00 secs] 
1981.575: [GC (Allocation Failure) [PSYoungGen: 1566127K->5857K(1566208K)] 1674190K->114926K(2090496K), 0.0088782 secs] [Times: user=0.19 sys=0.01, real=0.01 secs] 
1991.709: [GC (Allocation Failure) [PSYoungGen: 1565409K->5793K(1566208K)] 1674478K->114886K(2090496K), 0.0062078 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2001.840: [GC (Allocation Failure) [PSYoungGen: 1565345K->5057K(1566208K)] 1674438K->114174K(2090496K), 0.0394645 secs] [Times: user=0.35 sys=0.00, real=0.04 secs] 
2011.922: [GC (Allocation Failure) [PSYoungGen: 1564579K->5889K(1566208K)] 1673697K->115182K(2090496K), 0.0072882 secs] [Times: user=0.17 sys=0.00, real=0.00 secs] 
2022.040: [GC (Allocation Failure) [PSYoungGen: 1565441K->5985K(1566208K)] 1674734K->115406K(2090496K), 0.0074253 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2032.140: [GC (Allocation Failure) [PSYoungGen: 1565537K->5921K(1566208K)] 1674958K->115510K(2090496K), 0.0067499 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
2042.180: [GC (Allocation Failure) [PSYoungGen: 1565473K->5999K(1566208K)] 1675062K->115645K(2090496K), 0.0093114 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2052.213: [GC (Allocation Failure) [PSYoungGen: 1565551K->5889K(1566208K)] 1675197K->116565K(2090496K), 0.0062945 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2062.209: [GC (Allocation Failure) [PSYoungGen: 1565441K->5953K(1566208K)] 1676117K->116741K(2090496K), 0.0073528 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
2072.247: [GC (Allocation Failure) [PSYoungGen: 1565505K->5761K(1566208K)] 1676293K->116581K(2090496K), 0.0071089 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
2082.282: [GC (Allocation Failure) [PSYoungGen: 1565313K->5953K(1566208K)] 1676133K->116861K(2090496K), 0.0068111 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2092.320: [GC (Allocation Failure) [PSYoungGen: 1565505K->6017K(1566208K)] 1676413K->117093K(2090496K), 0.0073286 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2102.328: [GC (Allocation Failure) [PSYoungGen: 1565569K->5857K(1566208K)] 1676645K->117149K(2090496K), 0.0078404 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
2112.324: [GC (Allocation Failure) [PSYoungGen: 1565409K->6639K(1566208K)] 1676701K->118003K(2090496K), 0.0095304 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
2122.309: [GC (Allocation Failure) [PSYoungGen: 1566191K->5665K(1566208K)] 1677555K->117899K(2090496K), 0.0070461 secs] [Times: user=0.15 sys=0.00, real=0.00 secs] 
2132.300: [GC (Allocation Failure) [PSYoungGen: 1565217K->5793K(1566208K)] 1677451K->118251K(2090496K), 0.0078941 secs] [Times: user=0.15 sys=0.01, real=0.00 secs] 
2142.311: [GC (Allocation Failure) [PSYoungGen: 1565345K->4897K(1566208K)] 1677803K->117411K(2090496K), 0.0213809 secs] [Times: user=0.27 sys=0.00, real=0.03 secs] 
2152.292: [GC (Allocation Failure) [PSYoungGen: 1564449K->5857K(1566208K)] 1676963K->118515K(2090496K), 0.0065050 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
2162.320: [GC (Allocation Failure) [PSYoungGen: 1565409K->4801K(1564672K)] 1678067K->117491K(2088960K), 0.0187436 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2172.340: [GC (Allocation Failure) [PSYoungGen: 1564353K->5985K(1565696K)] 1677043K->118851K(2089984K), 0.0066974 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
