Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
627.191: [GC (Allocation Failure) [PSYoungGen: 21871664K->760978K(22609920K)] 22488082K->1378069K(25755648K), 0.1387404 secs] [Times: user=4.89 sys=0.00, real=0.14 secs] 
630.267: [GC (Allocation Failure) [PSYoungGen: 21863570K->748698K(22609920K)] 22480661K->1366469K(25755648K), 0.1383518 secs] [Times: user=4.83 sys=0.00, real=0.14 secs] 
633.399: [GC (Allocation Failure) [PSYoungGen: 21851290K->811664K(22609920K)] 22469061K->1430211K(25755648K), 0.1459929 secs] [Times: user=5.16 sys=0.00, real=0.15 secs] 
636.433: [GC (Allocation Failure) [PSYoungGen: 21914256K->832558K(22609920K)] 22532803K->1452033K(25755648K), 0.1499089 secs] [Times: user=5.30 sys=0.00, real=0.15 secs] 
639.550: [GC (Allocation Failure) [PSYoungGen: 21935150K->887024K(22609920K)] 22554625K->1507203K(25755648K), 0.1564866 secs] [Times: user=5.47 sys=0.00, real=0.16 secs] 
642.636: [GC (Allocation Failure) [PSYoungGen: 21989616K->788858K(22609920K)] 22609795K->1409725K(25755648K), 0.1429791 secs] [Times: user=5.06 sys=0.00, real=0.14 secs] 
645.696: [GC (Allocation Failure) [PSYoungGen: 21891450K->791106K(22609920K)] 22512317K->1412637K(25755648K), 0.1418809 secs] [Times: user=5.02 sys=0.00, real=0.14 secs] 
649.199: [GC (Allocation Failure) [PSYoungGen: 21893698K->755631K(22609920K)] 22515229K->1377810K(25755648K), 0.1391285 secs] [Times: user=4.86 sys=0.00, real=0.14 secs] 
649.520: [GC (System.gc()) [PSYoungGen: 1776700K->635492K(22609920K)] 2398879K->1258335K(25755648K), 0.1178327 secs] [Times: user=3.91 sys=0.00, real=0.12 secs] 
649.638: [Full GC (System.gc()) [PSYoungGen: 635492K->0K(22609920K)] [ParOldGen: 622843K->227761K(3145728K)] 1258335K->227761K(25755648K), [Metaspace: 22346K->22346K(1069056K)], 0.1213114 secs] [Times: user=2.95 sys=0.02, real=0.12 secs] 
670.461: [GC (Allocation Failure) [PSYoungGen: 21102592K->936006K(22609920K)] 21330353K->1163775K(25755648K), 0.1523821 secs] [Times: user=5.29 sys=0.00, real=0.15 secs] 
678.244: [GC (Allocation Failure) [PSYoungGen: 22038598K->974486K(22609920K)] 22266367K->1202256K(25755648K), 0.1501999 secs] [Times: user=5.18 sys=0.01, real=0.15 secs] 
683.535: [GC (Allocation Failure) [PSYoungGen: 22077078K->960611K(22609920K)] 22304848K->1188381K(25755648K), 0.1441208 secs] [Times: user=5.04 sys=0.00, real=0.14 secs] 
688.113: [GC (Allocation Failure) [PSYoungGen: 22063203K->1003693K(22609920K)] 22290973K->1231462K(25755648K), 0.1499143 secs] [Times: user=5.27 sys=0.00, real=0.15 secs] 
692.100: [GC (Allocation Failure) [PSYoungGen: 22106285K->1034483K(22609920K)] 22334054K->1262253K(25755648K), 0.1566930 secs] [Times: user=5.51 sys=0.00, real=0.16 secs] 
695.696: [GC (Allocation Failure) [PSYoungGen: 22137075K->985772K(22609920K)] 22364845K->1213542K(25755648K), 0.1487253 secs] [Times: user=5.25 sys=0.01, real=0.15 secs] 
698.859: [GC (Allocation Failure) [PSYoungGen: 22088364K->1018162K(22609920K)] 22316134K->1245932K(25755648K), 0.1558765 secs] [Times: user=5.34 sys=0.00, real=0.16 secs] 
702.034: [GC (Allocation Failure) [PSYoungGen: 22120754K->1102804K(22609920K)] 22348524K->1330574K(25755648K), 0.1672015 secs] [Times: user=5.90 sys=0.00, real=0.17 secs] 
705.209: [GC (Allocation Failure) [PSYoungGen: 22205396K->1018038K(22609920K)] 22433166K->1245808K(25755648K), 0.1542214 secs] [Times: user=5.38 sys=0.01, real=0.15 secs] 
708.374: [GC (Allocation Failure) [PSYoungGen: 22120630K->1022943K(22609920K)] 22348400K->1250713K(25755648K), 0.1535489 secs] [Times: user=5.41 sys=0.01, real=0.16 secs] 
711.525: [GC (Allocation Failure) [PSYoungGen: 22125535K->1022909K(22609920K)] 22353305K->1250679K(25755648K), 0.1523844 secs] [Times: user=5.39 sys=0.00, real=0.16 secs] 
714.664: [GC (Allocation Failure) [PSYoungGen: 22125501K->1056526K(22609920K)] 22353271K->1284295K(25755648K), 0.1583242 secs] [Times: user=5.60 sys=0.01, real=0.16 secs] 
717.820: [GC (Allocation Failure) [PSYoungGen: 22159118K->1121324K(22609920K)] 22386887K->1349093K(25755648K), 0.1692031 secs] [Times: user=6.00 sys=0.00, real=0.17 secs] 
